Price,Close,High,Low,Open,Volume
Ticker,RSP,RSP,RSP,RSP,RSP
Date,,,,,
2021-12-02,146.44171142578125,147.0167325383722,143.3780774159013,143.5194701551456,5321200
2021-12-03,145.64047241210938,147.3843932074576,144.38673716949594,147.1298718495644,5924200
2021-12-06,147.7991180419922,148.77006754718255,146.39456895109504,146.96959003710597,4885400
2021-12-07,150.29718017578125,151.0135940592325,149.20369499804053,149.2979664175627,2510800
2021-12-08,150.6836700439453,151.00416985025552,150.13692746528736,150.5611200776154,3000100
2021-12-09,149.60903930664062,150.49512445189205,149.59018214667398,150.0803676192163,1829500
2021-12-10,150.57998657226562,150.69310077355195,149.40166569620064,150.5139936989821,2200800
2021-12-13,149.48648071289062,150.39142296586755,148.93031678826964,150.39142296586755,3743000
2021-12-14,148.5909423828125,149.71270587154586,148.13845692570916,148.51552813996196,3265000
2021-12-15,150.21234130859375,150.33487689078694,147.7520069033156,148.70408493136466,4800700
2021-12-16,149.9484100341797,151.6451806081979,149.45822451663224,151.00418094846657,4805000
2021-12-17,147.9594268798828,150.1463833126295,146.87536286202723,149.40169072308183,6970300
2021-12-20,146.44105529785156,146.63959374853025,145.04188070316457,146.53560016494072,6794600
2021-12-21,149.40963745117188,149.47582176764115,147.4810455109527,147.63231158385958,3589700
2021-12-22,150.458984375,150.4968080964334,149.17325193120254,149.28670866997967,1855000
2021-12-23,151.48001098632812,151.95270653343377,150.94114556389982,150.94114556389982,1614100
2021-12-27,153.41812133789062,153.42757005907623,151.48952915244175,151.74477445421022,2518200
2021-12-28,153.65443420410156,154.1933141250567,153.28573220443104,153.38027709686972,2754600
2021-12-29,154.1082000732422,154.40128343559084,153.49370162025562,153.66386509627398,2915200
2021-12-30,153.86239624023438,154.91178090221172,153.7016814898173,154.2783706180305,2090100
2021-12-31,153.86239624023438,154.52416710239962,153.58823917788123,153.7016814898173,3194700
2022-01-03,153.99473571777344,154.54306421567856,152.96426301462557,154.22163474551672,3841500
2022-01-04,155.2332000732422,155.63026256411928,154.65651098340405,154.66597412578426,3532000
2022-01-05,152.8413848876953,155.8949942510264,152.77521500872837,155.34668008064637,5266400
2022-01-06,153.18174743652344,154.11768999380996,152.35926164181853,153.484279569373,3597700
2022-01-07,152.93592834472656,153.69224413979282,152.60503567640885,153.19117356546133,4051800
2022-01-10,152.17015075683594,152.47266839355538,150.12810261326945,152.29304178478944,5845200
